,10percentage,12percentage,CollegeTier,collegeGPA,CollegeCityTier,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,SubjectCount,SubjectTotal,Age,YOE,Enc_Designation,Enc_Gender,Enc_Degree,Enc_Specialization,Enc_CollegeState,enc_City_Type,Salary_Class
47,86.6,75.0,2,74.0,0,505,545,565,1,1,0,1,0,0,0,0,-2.5039,0.0328,0.3817,0.26793,0.5024,3,0.8440661789358764,24.9,2.3,321,1,0,13,13,1.0,Good
48,81.92,61.46,2,57.54,1,565,465,415,1,1,0,0,0,0,0,0,1.2828,1.7488,1.8331,-2.2879,1.1343,2,1.1489432041004213,26.8,2.2,238,1,0,32,11,1.0,Good
49,66.5,49.5,2,89.7,0,505,505,485,1,1,0,0,0,0,0,0,-1.0355,0.0328,-2.2308,1.0024,0.3444,2,1.2464424076594385,27.9,1.7,366,0,3,9,16,0.0,Low
50,80.0,72.5,2,57.8,0,580,485,455,1,1,1,0,0,0,0,0,-0.4463,-0.1206,-1.0659,-0.1076,-1.244,3,1.2542061494969012,24.2,0.9,368,1,0,21,0,1.0,Low
51,85.2,81.5,2,57.64,0,545,385,485,1,1,0,0,0,0,0,0,1.1336,0.3789,1.0859,0.653,0.2889,2,0.8583707215307401,23.8,0.8,321,1,0,13,23,1.0,Good
52,89.25,78.0,2,80.0,1,570,510,545,1,0,0,0,0,1,0,0,-0.159,-0.1206,-0.6048,-1.6289,-1.4356,2,1.0803472039603357,24.4,1.3,22,1,0,17,25,1.0,Good
53,58.4,64.8,2,80.0,0,440,415,554,1,1,0,0,0,0,0,0,0.335,0.0924,-0.6582,-0.4821,-0.1543,2,1.0875236074226153,24.0,1.2,8,0,3,9,7,1.0,Low
54,90.8,90.1,2,67.7,0,525,530,595,1,1,0,1,0,0,0,0,-0.3027,0.7119,-0.2974,1.1601,-0.4776,3,0.9980296687707346,23.9,1.4,321,1,0,13,11,0.0,Low
55,78.0,70.1,2,68.2,0,415,595,495,1,0,1,0,0,0,0,0,0.8192,-0.0842,-0.598,-0.6428,-0.6035,2,0.9118189951668954,26.5,2.8,63,0,0,20,7,0.0,Low
56,89.88,95.4,2,80.8,1,555,475,635,1,0,1,0,0,0,1,0,0.3555,-0.2793,-0.6343,-0.2902,-0.2875,3,1.1612251709388668,26.4,3.8,362,0,0,20,21,1.0,Average
57,63.3,61.1,2,66.9,0,420,510,665,1,0,1,0,0,0,0,0,-1.0208,-0.6201,-0.2974,-0.1076,-1.244,2,0.24753136219790184,25.8,0.6,230,1,0,20,23,1.0,Low
58,72.0,49.0,2,55.0,0,640,460,250,1,1,1,0,1,0,0,1,-0.3014,-0.4353,-0.9245,-0.349,-0.4455,5,1.4053762659622686,38.2,3.6,321,1,0,10,11,1.0,Low
59,83.0,79.0,2,70.0,1,430,410,310,1,1,0,0,0,0,0,0,-0.159,-0.1206,0.1637,1.5404,-0.0943,2,0.3467494810611696,24.0,2.2,321,0,0,32,21,1.0,Good
60,85.3,88.3,2,85.0,1,370,375,325,1,1,0,1,0,0,0,0,1.8517,1.5444,0.3174,0.3995,0.6721,3,0.7490543024513159,22.5,0.5,155,1,0,13,20,1.0,Good
61,81.0,77.8,2,65.35,0,535,510,390,1,0,1,0,0,0,1,0,-1.1644,-0.9531,0.01,-0.7415,-0.8608,3,0.5161807682924828,24.8,1.6,95,0,0,20,23,0.0,Low
62,60.66,62.4,2,69.3,0,370,410,470,1,1,0,0,1,0,0,0,-2.2351,-2.6847,-2.6028,0.3995,-5.477,3,1.2072753584252394,24.0,0.5,175,1,0,38,23,0.0,Low
63,78.0,83.0,1,72.13,1,444,555,695,1,1,0,0,0,0,0,0,0.6646,0.3448,0.8171,0.6498,0.0284,2,1.477339237603299,29.6,2.0,156,1,0,32,4,1.0,Average
64,89.37,79.0,2,70.0,0,630,580,510,1,0,1,0,0,0,0,0,0.99,1.2114,-0.2974,-1.1218,1.247,2,0.512183021803851,25.1,0.2,340,1,0,1,25,0.0,Good
65,90.0,94.4,2,76.12,0,505,525,595,1,1,1,0,0,0,0,0,-0.2628,-0.1232,0.0914,-1.2303,-0.1295,3,0.628065019377708,26.4,2.7,340,1,0,20,0,1.0,Good
66,81.0,79.0,2,71.5,0,510,500,575,1,1,1,0,0,0,0,0,-1.8825,-3.7836,-2.4491,0.9066,-1.8189,3,0.9561854609352423,24.4,0.5,362,0,0,20,23,1.0,Good
67,78.0,86.67,2,77.55,1,535,465,535,1,1,1,0,0,0,0,0,-0.880999999999999,1.4368,0.3817,-0.4078,-0.1295,3,1.4321478364550482,26.8,1.5,254,0,0,33,20,1.0,Low
68,84.4,73.2,2,70.0,0,570,410,535,1,1,0,0,0,0,0,0,-0.0154,0.8784,0.01,-0.7415,-0.2859,2,0.9409331751860961,23.0,0.6,319,1,0,13,17,0.0,Low
69,89.0,92.0,2,76.4,1,625,645,605,1,1,1,0,0,1,0,0,-1.4517,-1.4526,-1.2196,1.794,-2.3937,4,1.8009407347685853,23.1,1.8,340,1,0,17,21,1.0,Good
70,86.0,64.0,2,61.17,0,665,545,415,1,1,0,1,0,0,0,0,1.1336,1.3779,2.1617,-0.995,1.0554,3,1.4488062047571237,25.1,1.7,156,1,0,32,6,1.0,Low
71,85.0,75.0,2,60.0,1,675,480,500,1,1,0,1,0,0,0,0,1.1336,1.0449,0.1637,-1.2486,0.0973,3,1.3731271821153181,23.0,0.6,351,1,0,13,11,1.0,Low
72,75.0,64.0,2,67.0,0,510,480,485,0,0,0,0,0,0,0,0,-0.159,0.8784,1.2396,0.2727,-0.6692,0,0.0,23.5,0.8,8,1,0,13,23,0.0,Low
73,86.0,77.0,2,75.0,0,325,510,295,1,1,0,1,0,0,0,0,0.1282,0.0459,0.1637,0.0192,-0.0943,3,0.3789922480887322,24.4,0.3,67,0,0,13,13,1.0,Low
74,70.6,78.67,2,75.84,1,580,485,510,1,1,1,0,0,0,0,0,0.5591,0.2124,-1.2196,-0.7415,-0.8608,3,0.3387897589643939,23.3,1.3,225,1,0,20,11,1.0,Good
75,93.44,90.0,2,87.6,0,515,475,635,1,1,0,0,0,0,0,0,-0.4173,0.9688,-0.1988,-0.2902,0.3049,2,1.2835654826013976,24.9,3.6,321,1,0,10,11,1.0,Average
76,76.0,72.0,2,63.2,0,510,355,340,1,1,0,0,0,0,0,0,-0.159,-0.2871,0.4711,0.2727,-0.4776,2,0.2922566366289465,23.9,1.5,362,1,0,13,20,1.0,Low
77,86.4,78.2,2,73.5,1,535,435,440,1,1,1,1,0,0,0,0,0.8463,1.3779,1.3933,0.653,-0.2859,4,0.8873209108102975,22.7,0.3,340,0,0,20,11,0.0,Good
78,86.0,95.0,2,78.6,0,405,545,450,1,1,1,0,0,0,0,0,0.5591,-0.4536,0.01,-0.4879,0.6721,3,1.083475225535527,23.6,0.7,319,0,0,20,21,2.0,Low
79,84.83,82.4,2,74.14,0,665,595,705,1,1,0,1,0,0,0,0,-0.4463,0.2124,0.3174,-1.5021,-0.2859,3,1.3047346010398178,23.3,1.4,20,1,0,13,23,1.0,Good
80,72.3,60.2,2,69.38,1,555,475,415,1,0,1,0,0,0,1,0,1.4208,0.5454,-0.2974,1.0333,-0.6692,3,1.1451919167820972,25.5,0.5,108,1,0,20,18,1.0,Good
81,69.0,62.6,2,76.25,0,395,455,475,1,1,1,0,0,0,0,0,-0.4173,0.1888,-0.4891,0.4148,0.8183,3,1.0276147196324534,28.8,0.4,100,0,0,17,13,1.0,Low
82,80.0,70.0,2,55.0,1,430,450,385,0,0,0,0,0,0,0,0,0.1282,-0.1206,0.9322,1.5404,0.0973,0,0.0,22.1,0.2,65,1,0,20,18,1.0,Low
83,73.33,71.33,2,61.0,1,375,535,534,1,1,0,0,0,0,0,0,-2.272,-0.2793,-1.2148,0.8848,-0.7615,2,0.8583707215307401,28.7,4.2,329,0,3,9,14,1.0,Good
84,86.16,70.08,2,63.13,0,455,595,500,1,1,1,0,0,0,0,0,0.99,1.0449,1.7007,-2.0092,0.2889,3,0.49539692031148524,22.4,0.5,115,1,0,20,23,0.0,Good
85,75.0,78.0,2,71.1,1,415,440,355,1,1,0,0,0,0,0,0,0.8463,1.3779,1.0859,-0.995,1.247,2,0.728846789134258,28.2,1.3,206,0,0,10,25,1.0,Low
86,56.0,56.0,2,62.0,0,605,470,355,1,1,0,0,0,0,0,0,0.7027,0.8784,0.3174,-1.1218,0.4805,2,1.1489432041004213,23.7,0.2,319,1,3,9,23,0.0,Low
87,87.0,60.0,2,70.82,0,640,605,400,1,1,0,1,0,0,0,0,0.8463,1.2114,1.2396,-0.1076,1.247,3,1.3731271821153181,23.9,1.2,256,0,0,13,23,1.0,Low
88,79.25,80.0,2,79.9,0,545,580,430,1,1,0,0,0,0,0,0,0.8192,1.0858,-0.4891,-0.7603,-0.1295,2,0.9002305379294782,25.0,2.8,230,1,0,32,25,1.0,Good
89,88.66,84.33,2,60.0,1,495,565,575,1,1,1,0,0,0,1,0,1.2828,1.7878,1.1437,-0.6428,0.5024,4,0.9075322707370557,24.6,2.7,255,1,0,19,14,1.0,Low
90,80.8,75.0,2,77.38,1,405,470,370,0,1,0,1,0,0,0,0,1.4208,-0.7866,-0.1437,-1.5021,-0.4776,2,0.578978622327791,24.6,1.0,249,1,0,20,11,1.0,Good
91,70.0,65.0,2,66.0,0,405,470,545,0,0,0,0,0,0,0,0,0.4155,0.3789,-0.9122,-1.1218,-0.8608,0,0.0,23.8,1.2,321,1,0,32,3,1.0,Good
92,81.16,68.5,2,61.5,0,605,520,325,1,1,1,0,0,0,0,0,1.4208,1.2114,0.6248,-0.995,-0.2859,3,0.7823730455568202,25.4,0.2,224,1,0,1,16,1.0,Good
93,83.5,94.2,2,88.2,0,515,475,445,1,1,0,0,0,0,0,0,0.6646,1.4368,-0.0537,0.884829999999999,0.5024,2,0.9409331751860961,25.4,3.6,340,0,0,32,0,1.0,Good
94,65.0,66.0,2,64.0,0,515,565,554,1,1,0,0,0,0,0,0,-0.7264,0.1888,-1.2148,-0.5253,1.1343,2,0.8583707215307401,27.8,3.7,321,1,0,32,23,1.0,Good
95,88.0,88.0,2,70.12,0,710,605,605,1,1,0,1,0,0,0,0,0.5591,1.2114,1.8543,0.1459,0.0973,3,1.2453521782369674,23.7,1.3,319,0,0,13,0,1.0,Good
96,79.0,76.6,2,77.85,1,635,495,495,1,1,0,0,0,0,0,0,0.8192,-0.5913,0.2366,-0.7603,-0.1295,2,0.9409331751860961,27.2,4.8,301,1,0,32,18,1.0,Good
97,55.6,50.8,2,80.03,1,440,425,370,1,1,0,1,0,0,0,0,-0.0154,0.8784,1.2396,1.2869,0.8637,3,0.6712945262983776,27.5,1.7,352,1,3,9,25,1.0,Low
98,75.0,72.0,2,80.0,0,475,470,415,1,1,0,1,0,0,0,0,0.8463,1.0449,1.3933,-1.6289,-0.2859,3,1.5616328080825395,23.1,0.1,36,1,0,32,23,1.0,Good
99,84.6,66.5,2,66.7,1,345,255,395,1,1,1,0,0,0,0,0,-0.1082,0.0328,-0.1988,0.2973,-0.7615,3,0.2933533700796123,26.8,4.1,89,1,0,22,20,1.0,Low
100,79.0,76.4,2,65.0,0,605,510,515,0,1,0,1,0,0,0,0,1.7081,0.8784,1.547,-1.6289,-0.0943,2,0.410332541567696,26.1,2.6,321,1,0,20,14,1.0,Good
101,62.0,61.0,2,70.0,0,250,305,385,1,1,0,0,0,0,0,0,-0.5116,0.8229,0.8809,0.0192,1.6302,2,0.2681730225688085,24.8,1.3,238,0,0,10,7,2.0,Good
102,62.0,61.0,2,63.0,0,465,595,605,1,1,0,0,0,0,0,0,-1.1644,-1.6191,-1.2196,-0.1076,-2.2021,2,1.0875236074226153,25.7,2.6,351,1,2,13,17,1.0,Good
103,86.0,92.0,2,72.0,0,350,590,570,1,1,1,0,0,0,0,0,0.8463,0.0459,-0.2974,-0.7415,-0.4776,3,0.9324324918141021,22.4,0.8,22,1,0,20,0,1.0,Good
104,85.8,65.8,2,69.7,0,615,630,750,1,1,0,1,0,0,0,0,0.8463,1.0449,0.01,-0.2344,0.4805,3,1.1523341272513632,22.4,0.4,9,0,0,32,23,1.0,Good
105,68.4,61.0,2,62.2,1,440,375,330,1,1,0,1,0,0,0,0,-1.7389,-1.2861,-0.4511,0.7798,-1.8189,3,0.6950474954195178,23.4,0.7,8,1,0,13,18,0.0,Low
106,51.0,48.0,2,59.0,0,275,365,395,1,1,0,0,0,0,0,0,0.2009,-0.2793,0.2366,1.4724,0.0284,2,0.7723596388838839,30.5,0.8,375,1,3,9,23,0.0,Low
107,79.6,73.2,2,66.96,1,535,640,630,1,0,1,0,0,0,0,0,-1.1644,0.2124,0.3174,0.9066,-0.4776,2,0.512183021803851,24.3,1.3,10,1,0,20,18,0.0,Average
108,63.4,63.0,2,69.3,0,360,350,320,1,0,0,0,0,0,0,0,-0.4463,-1.1196,-1.6807,-0.4879,-1.244,1,0.600643959446608,26.1,3.5,220,1,0,23,13,1.0,Good
109,86.53,71.55,2,78.5,0,515,505,454,1,1,0,0,0,0,0,0,-0.1082,0.9688,0.8171,-0.8778,0.3444,2,0.9802186781645681,26.1,3.5,301,1,0,10,16,0.0,Good
110,76.18,86.33,2,73.46,0,485,545,385,1,1,0,0,0,0,0,0,0.3555,1.2808,0.2366,1.3549,1.2923,2,0.9002305379294782,26.7,0.5,229,0,0,10,20,1.0,Low
111,91.43,74.0,2,70.0,1,665,460,570,1,1,0,1,0,0,0,0,0.4155,0.3789,-0.1437,-0.7415,-0.2859,3,0.5776877517152411,24.7,1.0,321,1,0,13,21,1.0,Good
112,78.0,71.3,2,67.0,0,455,605,625,1,1,0,0,0,0,0,0,-0.2628,-0.5913,0.2366,-0.1727,0.8183,2,1.2464424076594385,28.7,5.8,225,1,0,32,13,1.0,Average
113,76.17,72.0,2,78.0,0,510,535,605,1,1,0,0,0,0,0,0,0.4155,-0.7866,-1.2196,1.1601,-1.8189,2,1.1192977649902822,24.0,1.3,321,1,0,13,18,1.0,Good
114,82.4,72.0,2,64.06,0,485,525,545,1,0,1,0,0,0,0,0,-0.0154,0.3789,0.6248,0.9066,0.6721,2,0.512183021803851,25.0,1.0,340,1,0,20,23,1.0,Low
115,58.0,57.6,2,61.9,0,265,375,365,1,1,0,0,0,0,0,0,0.8192,0.8128,-0.1988,0.1798,-0.2875,2,0.3467494810611696,30.5,0.2,319,1,0,10,24,0.0,Low
116,79.0,83.4,2,72.7,0,535,485,525,1,0,1,0,0,0,1,0,0.3555,0.6178,0.7083,0.2973,-0.2875,3,0.787579776675298,25.3,2.5,9,0,0,20,9,1.0,Good
117,90.04,75.16,2,77.0,0,505,495,615,1,1,1,0,0,0,0,0,-0.0696,0.0328,-0.1988,0.0035,-0.9194,3,1.0181968692321268,25.3,1.2,321,0,0,23,11,1.0,Good
118,76.0,76.6,2,77.58,0,595,645,495,1,1,0,0,0,0,0,0,-2.5811,-0.2012,0.5994,0.1798,0.1864,2,1.1764431330850493,24.7,3.2,321,0,0,10,7,1.0,Average
119,60.4,60.0,2,62.0,0,395,425,395,1,0,0,0,0,0,1,0,-0.2628,0.3448,-0.1988,0.5323,0.6603,2,0.8731066100756433,27.2,0.7,189,1,0,20,23,0.0,Good
120,74.23,77.77,2,75.6,0,475,435,430,1,1,0,0,0,0,0,0,0.2718,1.0449,0.1637,0.1459,0.8637,2,1.1192977649902822,22.9,1.6,156,1,0,13,17,0.0,Good
121,59.8,60.25,2,68.63,0,575,595,405,1,0,0,0,1,0,0,0,0.2009,1.1248,1.1074,-1.1128,0.9763,2,0.14339401923513923,27.7,1.0,365,1,0,38,23,0.0,Average
122,82.3,89.6,2,67.95,0,555,580,355,1,1,0,0,0,1,0,0,-0.159,-1.1196,1.2396,1.6672,0.6721,3,0.8828599971666127,24.9,1.2,225,0,0,22,17,1.0,Good
123,90.0,86.4,2,65.7,0,605,325,515,1,1,0,0,0,1,0,0,0.1282,-0.2871,1.3933,0.653,-0.6692,3,1.3328701318900291,23.8,0.3,225,1,0,17,10,1.0,Good
124,84.2,67.0,2,69.88,0,495,385,505,1,1,1,0,0,0,1,0,-1.0355,1.2028,0.3817,0.64983,-0.1295,4,1.5865421357424592,24.0,2.8,220,1,0,20,23,1.0,Good
125,86.4,80.4,2,61.54,0,585,505,605,1,1,0,0,0,0,0,0,0.51,0.5008,-0.4891,-0.8778,0.1864,2,0.9409331751860961,25.7,2.8,279,1,0,10,12,1.0,Low
126,60.0,59.0,2,67.0,0,515,555,425,1,1,0,0,0,0,0,0,-0.880999999999999,-0.2793,-0.6343,-0.6428,-2.9731,2,0.8583707215307401,27.2,4.2,300,1,0,10,23,0.0,Average
127,60.8,63.0,2,68.0,1,440,400,310,1,1,0,1,0,0,0,0,0.4155,-1.1196,0.7785,-0.1076,-0.2859,3,0.5183053289123908,23.1,0.4,0,1,0,32,20,0.0,Low
128,82.8,73.6,2,67.5,1,520,450,575,1,1,0,1,0,0,0,0,-0.159,0.0459,0.7785,-1.1218,-0.0943,3,1.328487570160958,24.0,1.3,321,1,0,13,11,0.0,Good
129,82.6,63.6,2,71.0,0,535,525,530,1,1,0,0,0,0,0,0,0.8192,-0.9033,-1.5776,-1.1128,-0.1295,2,1.017862217538195,24.7,1.2,340,1,0,32,24,1.0,Good
130,74.0,61.1,2,71.0,1,500,460,235,1,1,0,1,0,0,0,0,1.1336,0.3789,0.6248,-1.8824,0.8637,3,0.3935944737395994,23.8,1.8,235,0,0,13,21,1.0,Low
